name,iata_code,iso_country,iso_region,municipality,type,scheduled_service,latitude_deg,longitude_deg
Solovki Airport,CSH,RU,RU-ARK,Solovetsky Islands,small_airport,yes,65.029999,35.733334
Amderma Airport,AMV,RU,RU-NEN,Amderma,medium_airport,yes,69.76329803466797,61.556400299072266
Varandey Airport,VRI,RU,RU-NEN,Varandey,small_airport,no,68.848503,58.201401
Kotlas Airport,KSZ,RU,RU-ARK,Kotlas,medium_airport,yes,61.235801696777344,46.6974983215332
Pulkovo Airport,LED,RU,RU-SPE,St. Petersburg,large_airport,yes,59.800301,30.262501
Emperor Nicholas II Murmansk Airport,MMK,RU,RU-MUR,Murmansk,large_airport,yes,68.7817,32.750801
Princess Olga Pskov International Airport,PKV,RU,RU-PSK,Pskov,large_airport,yes,57.781316,28.39384
Petrozavodsk Airport,PES,RU,RU-KR,Petrozavodsk,medium_airport,yes,61.885201,34.154701
Cherepovets Airport,CEE,RU,RU-VLG,Cherepovets,medium_airport,yes,59.273601532,38.0158004761
Velikiy Ustyug Airport,VUS,RU,RU-VLG,Velikiy Ustyug,medium_airport,yes,60.7883,46.259998
Vologda Airport,VGD,RU,RU-VLG,Vologda,medium_airport,no,59.282501,39.944401
Brest International Airport,BQT,BY,BY-BR,Brest,large_airport,yes,52.108138,23.89676
Gomel Airport,GME,BY,BY-HO,Gomel,medium_airport,yes,52.527000427246094,31.016700744628903
Vitebsk Vostochny Airport,VTB,BY,BY-VI,Vitebsk,medium_airport,no,55.126499176025,30.349599838257
Khrabrovo Airport,KGD,RU,RU-KGD,Kaliningrad,large_airport,yes,54.889882,20.598216
Hrodna Airport,GNA,BY,BY-HR,Hrodna,medium_airport,no,53.602001,24.053801
Minsk National Airport,MSQ,BY,BY-MI,Minsk,large_airport,yes,53.888071,28.039964
Mogilev Airport,MVQ,BY,BY-MA,Mogilev,medium_airport,yes,53.95489883422851,30.09510040283203
Abakan International Airport,ABA,RU,RU-KK,Abakan,large_airport,yes,53.740002,91.385002
Barnaul Gherman Titov International Airport,BAX,RU,RU-ALT,Barnaul,large_airport,yes,53.361285,83.539701
Gorno-Altaysk Airport,RGK,RU,RU-AL,Gorno-Altaysk,medium_airport,no,51.969204,85.836539
Alexei Leonov Kemerovo International Airport,KEJ,RU,RU-KEM,Kemerovo,large_airport,yes,55.2701,86.107201
Baykit Airport,BKA,RU,RU-KYA,Baykit,medium_airport,no,61.676701,96.355003
Yeniseysk Airport,EIE,RU,RU-KYA,Yeniseysk,medium_airport,yes,58.474201,92.112503
Yartsevo Airport,YAE,RU,RU-KYA,Yartsevo,small_airport,no,60.255001,90.195
Podkamennaya Tunguska Airport,TGP,RU,RU-KYA,Bor,medium_airport,no,61.589699,89.994003
Severo-Yeniseysk Airport,VEO,RU,RU-KYA,Severo-Yeniseysk,medium_airport,yes,60.373299,93.011703
Tura Mountain Airport,GOY,RU,RU-KYA,Tura,small_airport,yes,64.333511,100.432892
Vanavara Airport,VAQ,RU,RU-KYA,Vanavara,medium_airport,yes,60.356229,102.309641
Boguchany Airport,BGS,RU,RU-KYA,Boguchany,small_airport,no,58.380615,97.472336
Kodinsk Airport,KNY,RU,RU-KYA,,small_airport,no,58.479401,99.093903
Krasnoyarsk International Airport,KJA,RU,RU-KYA,Krasnoyarsk,large_airport,yes,56.175743,92.485788
Krasnoyarsk Cheremshanka Airport,KCY,RU,RU-KYA,Krasnoyarsk,medium_airport,yes,56.177584,92.545881
Achinsk Airport,ACS,RU,RU-KYA,Achinsk,medium_airport,no,56.269185,90.57511
Kyzyl Airport,KYZ,RU,RU-TY,Kyzyl,medium_airport,yes,51.669399,94.400597
Novosibirsk Tolmachevo Airport,OVB,RU,RU-NVS,Novosibirsk,large_airport,yes,55.019756,82.618675
